İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus,Bina_Yasi_Sayi,Oda_Sayi_Num,Aykiri_Fiyat,mahalle_lat,mahalle_lon,rayli_mesafe_km,mesafe_band
2003,02 Şubat 2022,Satılık,190,5-10,20,Kiracı Oturuyor,Bilinmiyor,Yok,2,27 Ocak 2022,Konut,168,4+1,1. Kat,Klimalı,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,18000000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,7,5.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
166,14 Ocak 2022,Satılık,300,21 Ve Üzeri,2,Kiracı Oturuyor,Bilinmiyor,Yok,3,15 Ekim 2021,Konut,270,5+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,8500000,İstanbul,Beşiktaş,Akat Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0858575,29.026253,0.9650919082650318,500m-1km
167,14 Ocak 2022,Satılık,350,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,15 Ekim 2021,Konut,320,5+2,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,16500000,İstanbul,Beşiktaş,Levent Mahallesi,Avrupa Yakası,0.911,178.938,25,7.0,0,41.0815723,29.0169502,0.5996366134312564,500m-1km
115,06 Ocak 2022,Satılık,450,5-10,4,Kiracı Oturuyor,Bilinmiyor,Yok,3,22 Eylül 2021,Konut,400,6+2,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,22000000,İstanbul,Beşiktaş,Levazım Mahallesi,Avrupa Yakası,0.911,178.938,7,8.0,0,41.0627271,29.0196144,1.0085798510098043,1-2km
2879,08 Şubat 2022,Satılık,160,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,08 Şubat 2022,Konut,140,3+1,1. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,4250000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
2878,08 Şubat 2022,Satılık,65,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,08 Şubat 2022,Konut,55,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,875000,İstanbul,Beşiktaş,Arnavutköy Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0683942,29.0411538,1.5803869210353299,1-2km
2762,07 Şubat 2022,Satılık,350,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,4,07 Şubat 2022,Konut,300,5+1,6. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,28000000,İstanbul,Beşiktaş,Sinanpaşa Mahallesi,Avrupa Yakası,0.911,178.938,25,6.0,0,41.0428133,29.0048711,1.3192704907495176,1-2km
2707,06 Şubat 2022,Satılık,90,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,06 Şubat 2022,Konut,85,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1250000,İstanbul,Beşiktaş,Etiler Mahallesi,Avrupa Yakası,0.911,178.938,25,3.0,0,41.0824567,29.0375989,0.013492174639745004,0-500m
2699,06 Şubat 2022,Satılık,160,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,06 Şubat 2022,Konut,130,3+1,8. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,4950000,İstanbul,Beşiktaş,Nisbetiye Mahallesi,Avrupa Yakası,0.911,178.938,25,4.0,0,41.071211,29.0238195,0.6792083939063565,500m-1km
2737,07 Şubat 2022,Satılık,190,16-20,5,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,2,07 Şubat 2022,Konut,170,4+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,7600000,İstanbul,Beşiktaş,Yıldız Mahallesi,Avrupa Yakası,0.911,178.938,18,5.0,0,41.0479707,29.0145236,0.7944835386059822,500m-1km
